#IID,Apolipoprotein_B_Pos_SUM,CRP_Neg_SUM,Diffusivity_inferior_longitudinal_fasciculus_Neg_SUM,ICVF_Cingulum_CingulateR_SUM,Proinsulin_Neg_SUM,T2stat_PutamenL_Neg_SUM,Total_GRS_SUM
HG00384,0,0,0,3.56282,0,0,20.397
HG00403,0,0,0,0,0,0,13.4619
HG00404,0,0,0,0,0,0,13.4619
HG00405,0,0,0,0,0,0,18.9147
HG00406,0,0,0,0,0,0,18.9244
HG00407,0,0,0,0,0,0,21.7805
HG00408,0,0,0,0,0,0,24.3772
HG00409,0,0,0,0,0,0,16.3277
HG00410,0,0,0,0,0,0,13.4619
HG00418,0,0,0,0,0,0,24.3772
HG00419,0,0,0,0,0,0,10.8652
HG00420,0,0,0,0,0,0,18.9244
HG00421,0,0,0,0,0,0,16.0684
HG00422,0,0,0,0,0,0,19.174
HG00423,0,0,0,0,0,0,13.4717
HG00427,0,0,0,0,0,0,17.5166
HG00428,0,0,0,0,0,0,19.174
HG00429,0,0,0,0,0,0,17.7661
HG00436,0,0,0,0,0,0,21.7707
HG00437,0,0,0,0,0,0,16.318
HG00438,0,0,0,0,0,0,18.9147
HG00442,0,0,0,0,0,0,16.318
HG00443,0,0,0,0,0,0,10.9055
HG00444,0,0,0,0,0,0,12.3134
HG00445,0,0,0,0,0,0,8.05924
HG00446,0,0,0,0,0,0,4.00458
HG00447,0,0,0,0,0,0,6.61107
HG00448,0,0,0,0,0,0,13.4619
HG00449,0,0,0,0,0,0,14.9199
HG00450,0,0,0,0,0,0,21.5212
HG00451,0,0,0,0,0,0,13.4619
HG00452,0,0,0,0,0,0,25.2561
HG00453,0,0,0,0,0,0,18.0558
HG00457,0,0,0,0,0,0,13.4619
HG00458,0,0,0,0,0,0,18.9147
HG00459,0,0,0,0,0,0,13.4619
HG00463,0,0,0,0,0,0,16.0684
HG00464,0,0,0,0,0,0,9.46711
HG00465,0,0,0,0,0,0,9.46711
HG00472,0,0,0,0,0,0,13.2221
HG00473,0,0,0,0,0,0,8.00917
